                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.3   19.2  14:20    4.3  06:45    8.0    0.0   0.00    0.4    7.6  11:32     65
 02   11.9   21.8  15:05    5.3  05:51    6.4    0.0   0.00    0.5    8.3  14:45    359
 03   12.1   21.6  13:53    6.8  07:36    6.2    0.0   0.00    0.5    7.6  13:26     16
 04   12.7   22.1  14:37    5.5  07:40    5.6    0.0   0.00    1.0   13.0  13:26     70
 05   13.0   22.0  14:49    6.2  18:08    5.4    0.0   0.00    0.9   10.7  12:32     72
 06   11.1   18.2  14:21    6.1  05:07    7.2    0.0   0.00    0.5   13.0  13:35     89
 07   12.0   19.3  14:02    7.4  05:52    6.4    0.0   0.00    1.9   14.5  20:17    281
 08   11.9   17.6  12:28    8.0  23:58    6.4    0.0   0.00    2.4   16.8  12:33    269
 09   11.7   16.9  13:24    7.8  00:29    6.6    0.0   0.01    3.6   22.1  15:06    273
 10   11.8   20.8  14:22    7.4  06:27    6.5    0.0   0.00    1.6   12.1  12:00    287
 11   10.5   16.7  20:18    7.2  04:32    7.9    0.0   0.02    1.9   15.2  10:28    257
 12   10.6   16.5  14:21    6.7  03:47    7.7    0.0   0.00    2.8   20.6  13:44    289
 13   13.5   23.4  14:42    6.7  01:33    4.8    0.0   0.00    1.6   13.6  10:23    289
 14   14.8   24.4  14:17    6.9  07:11    3.6    0.0   0.00    1.9   14.5  10:40    101
 15   15.6   25.9  15:37    8.4  07:27    2.8    0.0   0.00    1.1   10.7  12:59     18
 16   15.7   26.6  14:18    9.4  07:22    2.7    0.0   0.01    0.8   11.4  10:38     58
 17   13.5   25.8  13:19    5.0  13:58    4.9    0.0   0.01    0.8    8.3  13:45    330
 18   13.6   27.9  15:22    5.9  07:13    4.7    0.0   0.00    0.6   24.4  20:09     70
 19   12.6   23.1  13:28    5.8  06:59    5.8    0.0   0.00    0.9   10.7  09:56     46
 20   13.4   25.0  14:47    5.8  07:32    4.9    0.0   0.00    0.7    9.8  14:33     39
 21   13.0   23.9  14:12    5.9  07:15    5.4    0.0   0.01    0.7   13.0  12:18    315
 22   13.5   27.9  15:42    6.0  05:41    4.8    0.0   0.00    0.7    9.2  11:01     51
 23   13.5   21.7  14:48    7.0  03:38    4.8    0.0   0.00    1.5   13.6  12:28    353
 24   12.2   20.5  16:00    6.3  07:47    6.2    0.0   0.00    0.8    9.2  11:06     26
 25   15.0   25.8  14:54    8.0  07:29    3.4    0.0   0.00    0.6    9.2  14:46     49
 26   14.4   24.8  14:19    8.6  23:04    4.0    0.0   0.00    1.7   16.8  18:33    286
 27   11.7   17.7  14:39    7.0  05:34    6.6    0.0   0.00    1.4   11.4  14:51     11
 28   14.5   21.0  13:39    6.9  06:29    3.8    0.0   0.01    2.1   14.5  15:35    290
 29   14.9   18.7  10:36   12.5  22:07    3.5    0.0   0.00    3.1   16.8  20:07    256
 30   12.3   17.4  13:13   10.5  23:30    6.1    0.0   0.00    4.6   21.3  15:16    249
 31   11.1   18.0  13:30    6.3  07:18    7.2    0.0   0.00    4.6   28.2  17:55    272
---------------------------------------------------------------------------------------
      12.8   27.9     18    4.3     01  170.2    0.0   0.08    1.6   28.2     31    279
    
