                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.5   17.5  14:39    3.6  06:33    8.8    0.0   0.00    2.3   15.2  16:11    281
 02    7.4   12.9  03:09    6.1  22:33   10.9    0.0   0.59    1.6   18.3  10:18    102
 03    8.5   15.5  10:52    4.6  02:30    9.8    0.0   0.01    2.9   24.4  13:03    266
 04    8.4   14.3  11:23    3.9  03:58    9.9    0.0   0.00    2.3   14.5  11:49    285
 05    9.0   15.0  13:46    5.3  02:07    9.3    0.0   0.05    2.5   18.3  12:37    240
 06    9.4   11.8  14:22    7.7  07:07    8.9    0.0   0.61    1.6   19.0  06:39    119
 07   11.2   13.1  22:46    8.6  07:21    7.1    0.0   0.26    3.5   28.9  14:38    143
 08   13.9   15.5  14:46    8.3  07:19    4.4    0.0   0.44    5.5   25.9  10:56    159
 09   14.5   16.1  14:36   12.9  23:53    3.8    0.0   0.47    3.3   19.7  06:28    168
 10   12.8   16.6  16:18    8.2  07:29    5.6    0.0   0.01    2.8   16.8  00:16    264
 11   11.0   17.7  13:27    7.1  05:12    7.3    0.0   0.01    1.3   13.6  13:31    338
 12   11.2   18.1  14:26    7.5  01:59    7.2    0.0   0.00    1.2   11.4  12:45    323
 13   14.5   23.1  14:28    9.7  01:32    3.9    0.0   0.00    1.6   15.9  14:54    335
 14   14.2   19.4  15:09   10.3  23:54    4.2    0.0   0.00    1.8   13.6  11:14    283
 15   12.8   16.5  12:20    9.4  08:08    5.5    0.0   0.02    1.9   22.8  13:23    217
 16   12.9   18.4  11:02    7.6  22:56    5.4    0.0   0.04    3.1   18.3  13:24    296
 17   11.1   20.8  23:58    5.5  05:00    7.3    0.0   0.00    3.7   23.5  10:17    279
 18   12.3   20.5  14:58    7.3  05:56    6.0    0.0   0.00    2.3   18.3  16:24    280
 19   13.2   19.7  15:25    8.1  23:54    5.1    0.0   0.01    4.3   19.0  15:31    273
 20   12.7   21.3  15:16    7.0  05:27    5.7    0.0   0.00    1.4   11.4  11:05     71
 21   14.1   24.5  13:13    7.0  07:04    4.3    0.0   0.00    2.2   18.3  17:20    279
 22   13.3   24.0  14:46    7.1  05:35    5.0    0.0   0.00    2.7   17.4  18:23    264
 23   12.1   22.1  15:06    6.8  04:08    6.2    0.0   0.00    1.6   15.2  13:51    305
 24   14.4   25.5  15:06    7.2  02:16    3.9    0.0   0.00    2.3   15.2  17:53    266
 25   12.4   18.0  14:00    7.8  03:11    6.0    0.0   0.00    5.0   25.9  15:39    257
 26   13.6   15.8  13:15   11.4  08:08    4.8    0.0   0.46    5.4   34.2  23:52    134
 27   15.1   20.0  13:24   12.1  04:32    3.3    0.0   0.07    4.2   28.2  00:51    165
 28   12.8   16.0  00:26   11.0  20:08    5.5    0.0   0.93    4.2   29.8  00:58    127
---------------------------------------------------------------------------------------
      12.1   25.5     24    3.6     01  175.0    0.0   3.99    2.8   34.2     26    230
    
