                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.1   15.1  13:58    6.4  05:54    9.2    0.0   0.48    2.6   22.8  14:59    165
 02   10.8   18.1  14:10    6.2  00:16    7.5    0.0   0.06    2.7   15.2  14:28    291
 03   11.6   18.5  11:17    6.5  03:19    6.7    0.0   0.00    3.0   24.4  18:08    242
 04   11.6   16.0  14:37    9.7  05:14    6.8    0.0   0.20    3.4   21.3  13:55    256
 05   13.5   21.0  13:54    8.5  06:09    4.8    0.0   0.00    4.7   22.8  15:13    268
 06   16.7   26.9  15:56    7.8  06:50    1.6    0.0   0.00    2.5   15.9  16:54    290
 07   19.9   30.0  16:16   11.2  06:06    0.0    1.6   0.00    2.1   15.9  10:38    318
 08   19.5   31.0  14:53   12.3  06:49    0.0    1.2   0.00    2.7   22.8  17:19    268
 09   15.3   25.7  16:57    9.2  06:36    3.0    0.0   0.00    1.8   15.2  13:50    323
 10   15.7   27.5  15:17    7.3  03:11    2.7    0.0   0.00    2.0   15.2  20:08    323
 11   13.6   22.0  15:15   10.5  04:50    4.7    0.0   0.00    5.6   25.1  16:14    267
 12   13.3   19.0  13:18   10.2  06:36    5.0    0.0   0.00    8.8   34.2  17:16    251
 13   14.9   26.9  15:30   10.9  02:56    3.4    0.0   0.00    4.3   23.5  18:36    256
 14   15.2   26.6  16:23    9.3  03:07    3.1    0.0   0.00    3.3   19.7  21:40    275
 15   14.1   22.0  14:42   10.4  05:25    4.2    0.0   0.00    6.7   26.6  17:35    260
 16   17.0   29.5  14:47    9.3  05:49    1.3    0.0   0.00    4.1   24.4  20:26    271
 17   13.8   17.3  14:56   10.2  05:00    4.5    0.0   0.00    7.2   36.5  13:32    252
 18   13.8   20.1  11:26    9.9  06:41    4.6    0.0   0.00    6.9   28.2  17:26    261
 19   13.6   21.0  12:10    8.8  13:51    4.7    0.0   0.00    4.5   22.8  15:50    247
 20   17.2   29.0  14:22    8.9  04:45    1.1    0.0   0.00    3.3   17.4  17:54    275
 21   14.5   23.2  13:09    8.3  06:38    3.8    0.0   0.00    3.5   25.1  16:10    264
 22   12.5   17.5  12:58    9.2  04:55    5.8    0.0   0.00    7.0   34.2  12:47    260
 23   13.5   20.9  15:07    8.0  05:19    4.8    0.0   0.00    5.2   24.4  16:28    270
 24   14.7   21.3  14:03   11.2  02:16    3.6    0.0   0.01    4.2   19.7  14:35    247
 25   12.1   14.5  11:03    9.9  23:32    6.2    0.0   0.33    4.0   25.1  17:32    248
 26   12.2   17.4  11:29    8.0  06:33    6.2    0.0   0.00    6.0   31.1  12:58    257
 27   13.4   19.7  14:11   10.2  01:14    4.9    0.0   0.00    3.9   20.6  11:46    251
 28   15.5   24.7  15:26    9.1  15:11    2.8    0.0   0.00    4.3   20.6  16:55    279
 29   21.4   31.7  16:15   10.7  05:55    0.0    3.1   0.00    2.3   20.6  15:24    312
 30   23.8   34.2  14:15   13.7  04:12    0.0    5.5   0.00    2.4   13.6  15:43    290
---------------------------------------------------------------------------------------
      14.8   34.2     30    6.2     02  117.2   11.3   1.09    4.2   36.5     17    262
    
