                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   23.3   34.8  14:23   14.1  05:43    0.0    5.0   0.00    2.8   22.1  16:21    273
 02   18.7   30.4  14:22   11.6  05:17    0.0    0.4   0.54    3.4   19.7  16:55    282
 03   14.9   21.0  14:03   11.4  05:50    3.5    0.0   0.00    5.5   25.9  14:49    264
 04   15.5   21.5  13:28   12.0  03:08    2.9    0.0   0.34    4.7   19.7  13:43    254
 05   14.5   20.2  13:22   11.7  23:43    3.8    0.0   0.00    6.3   34.9  23:32    264
 06   14.2   22.0  14:19    9.8  06:23    4.2    0.0   0.00    6.7   31.1  15:42    256
 07   12.3   16.1  16:23   10.4  01:52    6.0    0.0   0.00    6.4   23.5  18:12    247
 08   14.8   20.3  13:25   10.8  04:14    3.5    0.0   0.01    3.8   22.8  17:32    229
 09   14.9   20.0  13:40   11.6  23:39    3.5    0.0   0.00    6.8   32.0  19:35    264
 10   13.9   20.1  11:43   10.5  05:30    4.4    0.0   0.00    7.9   34.2  16:38    264
 11   17.0   25.5  13:44   10.2  01:59    1.3    0.0   0.00    5.4   27.3  15:35    275
 12   20.8   31.7  17:19    9.7  05:18    0.0    2.5   0.00    2.7   16.8  16:24    290
 13   23.9   35.4  15:17   12.0  16:50    0.0    5.6   0.00    3.3   22.8  17:51    269
 14   25.4   35.7  14:26   15.2  05:48    0.0    7.1   0.00    3.0   18.3  13:31    273
 15   23.6   34.7  15:30   15.7  05:40    0.0    5.3   0.00    3.6   20.6  16:46    285
 16   17.3   26.0  15:27   11.3  06:03    1.1    0.0   0.00    5.1   20.6  14:57    261
 17   14.9   20.8  14:48   12.1  18:40    3.4    0.0   0.00    7.0   28.2  11:20    253
 18   15.6   21.1  13:00   12.7  00:04    2.7    0.0   0.00    7.7   44.1  15:58    262
 19   15.0   20.9  14:30   10.0  20:10    3.4    0.0   0.02    7.2   28.2  09:40    251
 20   15.0   20.8  12:53   11.2  03:52    3.4    0.0   0.00    6.3   27.3  16:37    255
 21   15.4   22.4  12:24   11.7  05:57    3.0    0.0   0.00    7.8   33.6  18:17    253
 22   15.2   22.0  15:23   11.9  05:13    3.2    0.0   0.00    7.2   29.8  17:15    258
 23   15.4   23.0  14:02   11.1  04:18    2.9    0.0   0.00    7.7   28.2  16:59    259
 24   15.5   20.6  12:20   12.6  06:20    2.8    0.0   0.00    7.9   29.8  14:18    259
 25   18.8   28.0  12:47   10.8  06:09    0.0    0.4   0.00    5.4   26.6  23:27    256
 26   19.3   29.4  13:27   10.1  18:40    0.0    0.9   0.04    5.4   27.3  16:34    258
 27   15.9   21.9  12:20   10.7  05:17    2.5    0.0   0.04    7.9   31.1  17:00    253
 28   17.3   27.1  15:14   10.6  05:44    1.0    0.0   0.04    6.7   23.5  16:58    274
 29   18.6   29.1  12:53   11.3  06:07    0.0    0.2   0.00    4.7   28.2  18:54    266
 30   13.1   18.0  13:32   10.2  04:17    5.2    0.0   0.00    8.7   34.9  14:51    260
 31   15.9   30.1  06:10   11.4  04:40    2.4    0.0   0.04    5.8   19.7  11:24    258
---------------------------------------------------------------------------------------
      17.0   35.7     14    9.7     12   70.1   27.4   1.06    5.8   44.1     18    260
    
