                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.5   26.4  15:15    9.4  03:58    1.9    0.0   0.00    5.2   24.4  16:57    260
 02   13.7   19.7  12:23    9.8  01:56    4.7    0.0   0.07    8.8   32.0  15:51    244
 03   14.7   20.8  12:40   10.4  04:17    3.6    0.0   0.00    6.2   22.1  18:34    259
 04   17.7   28.5  13:29   10.9  01:50    0.6    0.0   0.00    4.2   22.8  18:09    269
 05   16.5   25.7  16:12   10.2  04:12    1.8    0.0   0.00    4.7   23.5  14:51    262
 06   15.4   21.6  13:53   11.4  05:20    2.9    0.0   0.00    6.8   22.8  14:29    265
 07   17.3   26.4  14:24   11.3  06:27    1.1    0.0   0.00    4.7   26.6  16:35    264
 08   23.3   37.9  15:32   11.8  02:49    0.0    5.0   0.02    2.7   18.3  16:51    274
 09   21.8   33.0  14:00   14.2  04:56    0.0    3.4   0.00    3.8   24.4  16:37    273
 10   17.0   23.7  16:02   12.9  04:34    1.3    0.0   0.00    7.4   30.4  15:24    261
 11   16.8   23.5  12:43   12.7  23:55    1.5    0.0   0.00    9.1   32.7  16:44    257
 12   14.5   32.6  22:51   11.3  04:26    3.9    0.0   0.02    7.7   26.6  15:58    249
 13   17.4   27.6  13:43   11.9  04:06    0.9    0.0   0.02    5.9   24.4  19:14    254
 14   18.5   32.0  12:45   11.3  03:55    0.0    0.2   0.00    4.8   24.4  15:24    262
 15   14.0   20.0  15:00   12.0  04:18    4.4    0.0   0.00    8.9   28.9  17:17    246
 16   14.0   17.9  11:48   11.7  05:59    4.4    0.0   0.00    7.6   29.8  15:50    237
 17   17.2   26.1  13:18   10.3  02:28    1.1    0.0   0.00    4.4   22.8  17:32    257
 18   20.7   32.5  13:08   10.8  05:39    0.0    2.4   0.00    3.6   19.7  19:51    258
 19   16.3   25.6  10:44   10.3  05:49    2.0    0.0   0.00    6.5   33.6  14:27    257
 20   18.2   30.1  12:15   11.4  05:21    0.2    0.0   0.00    4.9   28.2  14:41    253
 21   15.2   21.8  12:18   11.6  05:56    3.2    0.0   0.00    7.0   25.1  11:07    256
 22   14.3   19.6  11:22   10.7  05:42    4.1    0.0   0.00    8.6   35.8  17:16    258
 23   16.6   25.2  13:40   11.3  06:13    1.7    0.0   0.00    6.8   29.8  17:14    256
 24   17.3   24.0  10:16   12.3  05:15    1.1    0.0   0.00    6.6   34.2  17:11    251
 25   16.1   20.1  12:34   13.4  05:38    2.2    0.0   0.00    5.4   21.3  21:42    243
 26   17.4   24.2  13:17   14.5  02:25    0.9    0.0   0.00    5.3   23.5  17:23    246
 27   18.6   27.3  14:19   12.9  06:08    0.0    0.2   0.00    5.2   22.8  18:46    254
 28   17.8   25.4  16:25   13.8  05:25    0.5    0.0   0.00    7.2   27.3  17:21    254
 29   21.3   32.9  14:30   12.3  05:51    0.0    2.9   0.00    4.2   26.6  18:04    272
 30   21.0   33.9  12:02   12.8  05:47    0.0    2.7   0.00    4.7   30.4  15:53    262
---------------------------------------------------------------------------------------
      17.2   37.9     08    9.4     01   49.9   16.9   0.14    6.0   35.8     22    255
    
