                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.4   22.1  14:44   13.6  03:16    2.0    0.0   0.00   10.1   32.0  14:04    260
 02   16.1   22.7  13:11   13.0  02:34    2.2    0.0   0.00    9.6   32.7  16:06    256
 03   16.9   23.5  14:46   12.9  05:58    1.4    0.0   0.00    9.3   28.9  12:28    263
 04   16.9   27.1  14:02   12.2  03:31    1.5    0.0   0.00    6.1   28.2  15:17    263
 05   18.7   30.2  14:43   11.6  02:36    0.0    0.3   0.00    3.8   22.1  15:20    282
 06   18.5   31.1  14:47   10.4  05:25    0.0    0.2   0.00    2.8   19.0  19:44    284
 07   18.5   29.0  15:15   11.7  04:42    0.0    0.2   0.00    3.3   23.5  15:54    274
 08   16.6   23.2  14:19   13.4  06:00    1.8    0.0   0.00    8.7   32.0  16:28    261
 09   17.4   25.3  11:59   13.8  00:00    0.9    0.0   0.00    8.3   30.4  19:50    260
 10   18.0   24.1  13:35   14.2  00:14    0.4    0.0   0.00    7.8   33.6  16:44    252
 11   17.2   23.3  13:46   14.0  04:46    1.1    0.0   0.00    7.3   30.4  15:14    252
 12   17.1   24.8  13:29   13.4  23:55    1.3    0.0   0.00    6.2   32.0  18:44    265
 13   18.6   29.5  15:13   12.7  02:50    0.0    0.2   0.00    5.3   19.0  17:43    261
 14   19.1   27.1  10:00   13.3  05:46    0.0    0.7   0.00    3.9   29.8  17:18    254
 15   19.6   26.6  13:08   12.3  04:52    0.0    1.3   0.00    5.8   30.4  14:02    258
 16   19.1   26.2  12:09   16.2  06:20    0.0    0.7   0.00    9.4   34.9  16:53    252
 17   18.7   24.1  09:30   11.7  11:52    0.0    0.4   0.00    7.3   34.9  16:55    246
 18   18.1   23.5  12:08   14.9  04:08    0.3    0.0   0.00    7.6   32.7  16:24    257
 19   18.9   24.7  12:07   13.8  04:52    0.0    0.6   0.00    5.9   30.4  16:42    262
 20   19.5   25.9  11:44   15.8  05:28    0.0    1.1   0.00    6.7   30.4  15:47    255
 21   19.6   24.5  16:17   13.1  15:02    0.0    1.3   0.00    6.8   28.9  14:45    245
 22   19.2   25.5  12:39   16.1  00:22    0.0    0.9   0.00    5.8   28.2  20:22    249
 23   19.8   27.1  15:19   15.1  03:07    0.0    1.5   0.00    4.1   20.6  15:39    253
 24   22.3   34.0  15:29   14.0  05:57    0.0    4.0   0.00    4.1   21.3  17:54    269
 25   24.2   36.4  14:22   13.8  06:05    0.0    5.9   0.00    3.1   25.1  17:49    273
 26   21.9   31.1  15:13   14.3  06:12    0.0    3.6   0.00    3.6   24.4  18:30    272
 27   21.0   32.5  15:28   16.0  23:56    0.0    2.7   0.00    3.7   24.4  16:29    278
 28   19.4   29.8  19:02   15.1  02:57    0.0    1.1   0.00    5.0   26.6  15:57    270
 29   21.1   31.4  14:38   14.8  06:10    0.0    2.7   0.00    2.9   16.8  11:41    292
 30   19.8   27.8  15:55   14.3  05:13    0.0    1.5   0.00    2.9   17.4  16:46    285
 31   19.8   31.3  16:37   13.7  03:31    0.0    1.5   0.00    2.3   16.8  12:55    318
---------------------------------------------------------------------------------------
      19.0   36.4     25   10.4     06   12.8   32.3   0.00    5.8   34.9     16    260
    
