                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.3   33.4  15:21   14.1  06:15    0.0    4.0   0.00    3.8   18.3  20:23    271
 02   18.0   23.6  15:08   14.7  06:53    0.3    0.0   0.00    7.6   28.9  15:20    258
 03   18.0   25.6  15:09   14.9  23:42    0.3    0.0   0.00    6.2   24.4  15:23    267
 04   17.8   25.4  11:33   14.7  00:41    0.5    0.0   0.00    7.0   27.3  16:06    262
 05   17.7   24.3  12:42   14.2  23:51    0.7    0.0   0.00    6.2   26.6  15:42    258
 06   17.0   24.7  12:13   13.6  01:38    1.3    0.0   0.00    5.9   26.6  17:34    268
 07   17.0   25.0  14:12   13.1  01:10    1.3    0.0   0.00    5.4   24.4  17:24    266
 08   15.8   22.0  01:02   13.0  05:33    2.5    0.0   0.00    7.7   28.9  16:23    258
 09   17.2   26.5  15:45   12.1  03:54    1.2    0.0   0.00    3.1   18.3  16:33    284
 10   20.3   35.3  14:23   11.0  04:14    0.0    2.0   0.00    1.5   15.2  01:42    275
 11   21.3   34.7  16:09   13.0  06:29    0.0    3.0   0.00    2.0   15.9  17:14    303
 12   20.5   31.9  16:18   12.8  05:13    0.0    2.2   0.00    1.9   16.8  14:07    318
 13   19.3   30.2  14:36   13.5  06:28    0.0    1.0   0.00    2.6   25.1  16:26    278
 14   19.7   31.6  15:45   13.1  05:46    0.0    1.3   0.00    2.1   21.3  11:49    299
 15   19.3   27.2  15:50   12.9  06:10    0.0    0.9   0.00    3.7   20.6  14:20    260
 16   19.9   29.3  14:14   13.0  05:25    0.0    1.5   0.00    3.7   26.6  19:12    279
 17   20.5   27.3  15:26   14.7  03:23    0.0    2.1   0.00    4.8   30.4  14:23    225
 18   20.5   25.0  14:35   16.3  23:59    0.0    2.1   0.05    4.2   25.1  18:32    230
 19   18.6   25.9  13:37   14.0  07:08    0.0    0.2   0.00    4.2   27.3  16:24    276
 20   18.5   24.2  12:15   16.1  01:03    0.0    0.2   0.00    5.9   28.2  17:19    262
 21   18.4   23.4  13:10   15.0  10:12    0.0    0.0   0.05    6.1   26.6  15:51    257
 22   19.6   27.6  13:48   16.4  23:20    0.0    1.2   0.00    4.2   23.5  16:16    272
 23   19.1   27.3  14:58   13.7  05:49    0.0    0.8   0.00    3.7   21.3  17:42    272
 24   20.5   26.9  12:49   17.1  05:44    0.0    2.1   0.00    3.6   25.9  14:52    248
 25   18.0   25.9  13:10   14.7  06:06    0.4    0.0   0.50    2.7   18.3  15:41    259
 26   18.1   25.0  12:42   14.0  05:33    0.2    0.0   0.00    4.2   25.9  17:43    274
 27   17.9   22.6  13:25   15.6  06:44    0.5    0.0   0.00    5.9   28.2  17:15    252
 28   17.7   23.7  12:21   13.0  06:52    0.7    0.0   0.00    4.1   22.1  16:48    255
 29   16.7   23.9  13:44   12.7  04:37    1.6    0.0   0.00    3.8   24.4  16:37    259
 30   18.6   26.9  15:09   13.6  02:01    0.0    0.2   0.00    3.3   14.5  17:42    259
---------------------------------------------------------------------------------------
      18.8   35.3     10   11.0     10   11.5   25.0   0.59    4.4   30.4     17    262
    
