                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.7   19.1  14:13   11.1  05:43    4.7    0.0   0.05    3.4   20.6  13:30    255
 02   13.8   21.4  15:01    8.8  04:37    4.5    0.0   0.00    2.7   17.4  14:03    280
 03   14.5   23.8  13:24    8.3  06:12    3.8    0.0   0.00    1.8   13.0  15:01    274
 04   15.3   25.8  14:21    8.5  06:13    3.0    0.0   0.00    0.9   10.7  11:16    336
 05   17.8   27.3  15:14   10.8  06:08    0.5    0.0   0.00    1.1   13.0  11:21     62
 06   17.5   26.3  13:09   11.8  06:37    0.8    0.0   0.00    2.7   15.2  13:45    283
 07   15.8   25.1  12:54   10.4  05:34    2.5    0.0   0.00    1.2   13.0  14:15    320
 08   17.5   28.2  15:03   11.9  01:26    0.9    0.0   0.00    0.8    9.2  12:48    318
 09   16.6   27.6  12:17   11.3  05:38    1.8    0.0   0.00    1.2   12.1  14:24    334
 10   14.7   23.5  11:37   11.0  02:15    3.6    0.0   0.00    3.6   24.4  16:31    261
 11   15.0   28.0  06:39   10.3  06:34    3.3    0.0   0.00    3.3   22.1  15:26    233
 12   15.9   21.6  13:04   13.2  23:47    2.4    0.0   0.07    1.8   13.6  12:21    234
 13   15.6   20.4  13:55   12.5  01:03    2.7    0.0   0.33    2.6   15.2  09:16    242
 14   14.9   22.9  11:30   10.5  06:22    3.5    0.0   0.00    2.6   15.9  11:10    268
 15   14.6   21.9  13:03   10.6  04:51    3.7    0.0   0.00    2.8   15.9  13:34    271
 16   13.2   18.6  11:43    9.7  05:30    5.1    0.0   0.00    1.2   13.0  11:08     89
 17   13.1   21.5  13:36    6.8  05:32    5.2    0.0   0.00    1.1   10.7  11:50     71
 18   13.3   21.8  21:49    8.4  01:48    5.1    0.0   0.00    0.9   14.5  21:49     26
 19   14.7   20.6  14:06   11.8  23:25    3.7    0.0   0.01    3.2   25.1  09:46    133
 20   12.8   16.3  14:27   11.0  22:07    5.6    0.0   0.15    0.8   12.1  10:11    204
 21   13.9   20.4  01:19   10.2  03:39    4.4    0.0   0.00    1.1    9.2  10:17     14
 22   15.5   20.3  12:39   10.7  23:43    2.8    0.0   0.20    4.1   25.1  11:58    247
 23   12.9   22.8  15:27    8.2  07:01    5.4    0.0   0.00    1.1    9.8  11:12    297
 24   13.1   25.7  15:55    7.0  03:27    5.3    0.0   0.00    0.8    9.8  11:16    322
 25   13.4   22.6  13:51    8.3  06:38    5.0    0.0   0.00    0.7   10.7  13:02     68
 26   14.1   25.4  13:53    7.8  06:18    4.2    0.0   0.00    1.0   11.4  11:34     74
 27   13.7   24.2  13:17    7.9  23:39    4.6    0.0   0.00    0.8    9.2  13:31     24
 28   12.4   20.3  13:42    6.6  06:53    5.9    0.0   0.01    2.1   22.1  14:13    253
 29   15.2   19.7  11:34   12.8  01:01    3.2    0.0   0.05    1.0   13.0  12:36    127
 30   13.3   16.7  15:23   10.1  09:50    5.0    0.0   0.41    1.5   21.3  10:03    120
---------------------------------------------------------------------------------------
      14.6   28.2     08    6.6     28  112.2    0.0   1.29    1.8   25.1     19    261
    
