                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.7   22.8  12:38   11.6  06:50    3.7    0.0   0.01    0.6    7.6  12:25     13
 02   14.0   15.9  23:01   12.7  09:26    4.4    0.0   1.45    2.5   20.6  10:31    102
 03   15.9   19.1  15:22   14.2  02:21    2.4    0.0   1.62    3.3   36.5  11:00    132
 04   15.7   22.3  12:01   13.0  05:13    2.6    0.0   0.04    1.0   10.7  12:46    190
 05   15.8   18.8  13:44   10.2  14:35    2.5    0.0   0.08    2.3   15.2  18:29    135
 06   16.1   22.2  11:52   11.1  05:35    2.2    0.0   0.13    1.2   12.1  15:20    208
 07   14.3   18.7  14:50   11.8  22:55    4.0    0.0   0.02    1.2   98.9  11:36    259
 08   16.0   23.5  13:42   11.8  00:57    2.4    0.0   0.00    1.3   16.8  14:13    264
 09   15.2   18.7  12:48   12.4  23:23    3.1    0.0   0.01    0.7    9.2  17:15    343
 10   15.8   19.4  12:36   13.3  00:07    2.6    0.0   0.00    3.8   28.9  23:13    124
 11   14.2   18.6  03:51   10.6  22:58    4.1    0.0   3.90    6.1   43.4  03:50    146
 12   11.1   15.7  16:44    9.3  22:44    7.3    0.0   0.32    0.4    9.8  12:44    266
 13   10.9   16.1  12:57    8.4  07:12    7.4    0.0   0.00    0.4    8.3  12:46     50
 14   12.0   18.1  13:34    8.1  01:46    6.3    0.0   0.18    1.3   13.0  15:28    109
 15   11.5   14.1  14:14   10.1  23:38    6.8    0.0   1.04    2.8   22.8  05:54    103
 16   12.1   19.0  01:24    9.7  23:38    6.3    0.0   1.00    2.6   23.5  12:25    150
 17   11.6   15.7  12:37    8.8  03:50    6.8    0.0   0.21    1.2   14.5  13:16    146
 18   12.5   18.1  12:32   10.1  07:25    5.8    0.0   0.01    0.6    8.3  02:14    108
 19   13.5   15.0  12:29   12.0  01:17    4.8    0.0   0.18    2.5   15.9  06:52    133
 20   14.2   18.7  12:12   12.4  07:13    4.1    0.0   0.02    0.6    8.3  13:30    242
 21   15.1   18.8  14:32   13.2  21:42    3.2    0.0   0.04    2.3   19.0  15:03    266
 22   14.3   21.2  14:25   11.4  05:04    4.0    0.0   0.01    1.1   11.4  13:14    296
 23   14.9   25.4  14:31   10.4  23:33    3.4    0.0   0.01    0.8   10.7  12:15      3
 24   11.9   16.0  12:09    7.9  23:59    6.4    0.0   0.08    3.9   36.5  17:13    254
 25    9.8   15.4  14:45    5.2  06:10    8.5    0.0   0.00    3.6   31.1  13:25    287
 26   10.5   18.2  13:35    5.3  23:59    7.8    0.0   0.00    2.9   26.6  05:06    324
 27    8.4   16.1  02:24    4.1  06:23    9.9    0.0   0.00    1.0   10.7  13:14     38
 28    9.6   18.7  15:24    3.8  07:16    8.7    0.0   0.00    1.3   10.7  13:49    290
 29   10.4   16.8  11:16    6.4  06:41    7.9    0.0   0.00    3.4   20.6  17:07    264
 30    8.9   14.5  14:19    4.7  04:38    9.4    0.0   0.00    5.1   32.0  14:49      2
 31    8.6   16.9  14:35    2.3  07:31    9.7    0.0   0.00    2.1   20.6  01:44    354
---------------------------------------------------------------------------------------
      12.9   25.4     23    2.3     31  168.7    0.0  10.37    2.1   98.9     07    171
    
