                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2015


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.3   21.4  15:14    6.7  05:53    6.0    0.0   0.01    2.7   15.2  11:40    289
 02   11.8   17.9  15:59    7.8  05:20    6.6    0.0   0.00    2.7   15.9  13:00    235
 03   12.1   21.3  14:36    6.1  06:40    6.2    0.0   0.00    2.3   16.8  14:50    289
 04   13.2   22.4  14:42    5.8  05:49    5.2    0.0   0.00    1.5   13.6  13:18    357
 05   14.5   24.8  16:18    6.3  04:59    3.9    0.0   0.00    1.4   13.0  13:09     36
 06   15.4   26.2  14:46    7.0  06:07    2.9    0.0   0.00    2.1   15.2  19:02    291
 07   16.2   28.3  14:36    7.0  04:26    2.2    0.0   0.00    1.4   11.4  13:04    320
 08   13.9   24.1  16:45    7.2  04:53    4.5    0.0   0.00    1.8   13.6  18:10    293
 09   14.0   23.5  15:08    9.5  23:44    4.4    0.0   0.02    2.5   21.3  12:56    281
 10   13.2   21.2  12:28    8.1  02:14    5.2    0.0   0.00    2.8   34.9  14:56    263
 11   14.8   21.2  12:07    9.2  08:41    3.5    0.0   0.02    3.1   19.7  12:42    252
 12   16.3   25.4  15:20   10.0  04:21    2.1    0.0   0.00    1.4   15.9  12:25    328
 13   17.5   28.9  14:00    9.8  05:38    0.8    0.0   0.00    1.6   15.2  17:41    299
 14   21.1   31.4  16:52   12.2  05:19    0.0    2.8   0.00    1.7   13.0  10:43     98
 15   18.9   25.0  11:57   12.9  22:38    0.0    0.6   0.00    4.3   27.3  08:16    240
 16   16.6   22.9  14:26   12.0  07:07    1.8    0.0   0.00    1.6   13.6  18:12    281
 17   15.4   22.7  14:01   11.0  11:42    2.9    0.0   0.07    5.6   22.8  15:18    264
 18   15.1   24.9  15:44    8.7  05:00    3.2    0.0   0.00    3.0   19.0  19:16    272
 19   17.0   28.8  13:31    9.0  03:49    1.3    0.0   0.00    2.6   17.4  00:56    277
 20   14.5   23.6  14:06    8.7  07:08    3.8    0.0   0.00    2.0   22.1  16:12    260
 21   16.1   24.6  13:57   11.2  04:44    2.2    0.0   0.04    3.0   16.8  17:09    276
 22   14.8   21.0  14:46   11.9  02:07    3.5    0.0   0.06    2.9   18.3  15:39    238
 23   14.2   20.3  13:42   10.8  07:05    4.1    0.0   0.06    2.8   22.8  16:59    254
 24   14.7   20.3  14:53   10.3  02:07    3.6    0.0   0.00    4.1   18.3  16:22    271
 25   16.8   26.7  15:37    9.7  06:14    1.6    0.0   0.00    2.4   16.8  18:49    285
 26   19.5   31.9  16:40   10.5  05:46    0.0    1.2   0.00    1.9   13.0  19:53    287
 27   15.4   22.7  13:19   10.5  06:41    2.9    0.0   0.15    4.3   28.2  20:37    269
 28   17.1   29.1  16:04    9.3  06:56    1.2    0.0   0.00    3.2   16.8  17:54    279
 29   17.4   28.4  16:23    9.1  06:19    0.9    0.0   0.00    2.6   19.0  18:09    276
 30   14.0   20.3  13:12    9.6  06:58    4.4    0.0   0.00    5.5   32.7  15:44    258
 31   14.3   20.3  23:03   10.9  23:59    4.0    0.0   0.14    7.8   33.6  16:05    264
---------------------------------------------------------------------------------------
      15.4   31.9     26    5.8     04   94.8    4.5   0.58    2.9   34.9     10    268
    
